                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.291,                0.71481,                 1.0849,                0.90309,                0.84423,                0.90233,                0.55431,                  1.388,                0.70782,                 1.1591,                0.00439,                0.00439,                0.00439
                     37,                  1.277,                0.70961,                 1.0816,                0.90618,                0.83722,                0.89971,                0.55195,                 1.3768,                0.71482,                 1.1577,               0.004225,               0.004225,               0.004225
                     38,                 1.2725,                0.70685,                 1.0859,                0.90289,                0.84153,                0.90167,                0.55516,                  1.382,                0.71004,                 1.1619,                0.00406,                0.00406,                0.00406
                     39,                  1.269,                0.69483,                 1.0769,                0.90212,                0.83621,                0.89952,                0.55479,                  1.384,                0.71353,                  1.159,               0.003895,               0.003895,               0.003895
                     40,                  1.266,                0.69406,                 1.0777,                0.90451,                0.84784,                0.90349,                 0.5559,                 1.3811,                 0.7018,                  1.155,                0.00373,                0.00373,                0.00373
                     41,                 1.2571,                0.68788,                 1.0748,                0.90216,                0.84388,                0.90256,                0.55303,                 1.3846,                0.70112,                 1.1611,               0.003565,               0.003565,               0.003565
                     42,                 1.2569,                0.68423,                 1.0755,                0.90661,                0.83999,                 0.9042,                0.55657,                 1.3812,                0.70064,                 1.1616,                 0.0034,                 0.0034,                 0.0034
                     43,                 1.2508,                0.68264,                 1.0705,                0.90353,                0.84642,                0.90538,                0.55928,                 1.3766,                0.70042,                 1.1572,               0.003235,               0.003235,               0.003235
                     44,                 1.2395,                0.66804,                 1.0653,                 0.9031,                0.84171,                  0.903,                0.55713,                 1.3825,                0.69904,                 1.1591,                0.00307,                0.00307,                0.00307
                     45,                 1.2391,                0.67377,                 1.0665,                0.90436,                0.83765,                0.90186,                0.55286,                 1.3842,                 0.7056,                 1.1588,               0.002905,               0.002905,               0.002905
                     46,                 1.2315,                0.66406,                 1.0615,                0.90364,                0.83997,                0.90245,                0.55622,                 1.3811,                0.70476,                 1.1595,                0.00274,                0.00274,                0.00274
                     47,                 1.2253,                0.65866,                 1.0609,                0.89487,                0.84405,                0.90333,                0.55807,                 1.3805,                0.70366,                 1.1566,               0.002575,               0.002575,               0.002575
                     48,                 1.2181,                0.65307,                   1.06,                0.90337,                0.83963,                0.90205,                0.55488,                 1.3872,                0.70474,                 1.1576,                0.00241,                0.00241,                0.00241
                     49,                 1.2209,                0.65375,                 1.0603,                0.90388,                0.83853,                0.90066,                0.55424,                 1.3871,                0.70877,                 1.1605,               0.002245,               0.002245,               0.002245
                     50,                 1.2056,                0.64326,                 1.0532,                 0.9051,                0.84449,                0.90312,                0.55748,                 1.3838,                0.70137,                 1.1618,                0.00208,                0.00208,                0.00208
                     51,                 1.1837,                0.57079,                 1.0569,                0.91224,                0.83811,                 0.9035,                0.55838,                  1.378,                0.70232,                 1.1585,               0.001915,               0.001915,               0.001915
                     52,                 1.1718,                0.55774,                 1.0506,                0.90806,                0.83762,                0.90206,                0.55806,                  1.383,                0.70755,                 1.1636,                0.00175,                0.00175,                0.00175
                     53,                 1.1647,                0.55158,                 1.0454,                0.90832,                0.83803,                0.90162,                0.55713,                 1.3849,                0.70626,                 1.1651,               0.001585,               0.001585,               0.001585
                     54,                 1.1524,                0.54681,                  1.041,                0.91101,                0.83479,                0.90063,                0.55617,                 1.3889,                 0.7117,                 1.1665,                0.00142,                0.00142,                0.00142
                     55,                 1.1451,                0.54195,                  1.041,                0.91002,                0.83511,                0.89809,                0.55444,                 1.3915,                0.71716,                 1.1696,               0.001255,               0.001255,               0.001255
                     56,                 1.1347,                0.53462,                 1.0338,                0.91351,                0.83233,                0.89727,                0.55448,                 1.3915,                0.71896,                 1.1699,                0.00109,                0.00109,                0.00109
                     57,                 1.1274,                0.53128,                 1.0303,                0.91412,                0.82875,                0.89682,                 0.5534,                  1.394,                0.71938,                  1.171,               0.000925,               0.000925,               0.000925
                     58,                 1.1233,                 0.5252,                 1.0296,                0.91109,                0.83208,                0.89605,                0.55206,                 1.3987,                 0.7221,                 1.1752,                0.00076,                0.00076,                0.00076
                     59,                 1.1179,                0.52153,                 1.0249,                0.91494,                0.83066,                0.89716,                0.55321,                 1.3985,                0.72207,                 1.1758,               0.000595,               0.000595,               0.000595
                     60,                 1.1103,                 0.5151,                 1.0259,                0.91128,                0.83398,                0.89714,                 0.5537,                 1.3952,                 0.7223,                 1.1744,                0.00043,                0.00043,                0.00043
